ti_id,pop_part_final,IR_global,IR_municipal_corrigido_avg
0,16.009860561985302,0.002928448289629501,0.14823944964801206
1,942.8984114792673,0.1724705364984408,0.15943497038319449
2,41.77982874662568,0.007642169496752782,0.014129127070214976
3,1.7046255487376907,0.000311802076809632,0.006481465964782094
4,2.9984214985642543,0.0005484571383406203,0.027763162023743095
5,37.05456678706336,0.00677784683448122,0.006265567666893843
6,331.7087120829684,0.060674595309162145,0.7404285293588231
7,249.46364175824365,0.04563071440898823,0.6267930697443308
8,58.05246927811902,0.010618684260745085,0.39224641404134475
9,848.7053242329353,0.15524118061657805,0.958675743452665
10,5467.011529170906,1.0,0.8623583614098663
11,7.538981644432136,0.0013789950147728063,0.005672672418684827
12,117.27324156994489,0.02145106900620161,0.2946563858541329
13,1185.3340261526737,0.21681571729416751,0.7541753269084202
14,1.1859421867705846,0.0002169269591700381,0.008656512312194048
15,2176.378672653881,0.3980929363402929,0.9947449782967311
16,55.56660623725831,0.010163981901403673,0.01879154759460883
17,16.458706298113217,0.003010549037676759,0.04135353341234477
18,0.058892270090505704,1.0772296669993843e-05,0.003099593162658195
19,5.882357322483512,0.0010759730962878716,0.04357301720358157
20,70.79962194437371,0.012950333389018983,0.5244416440323979
21,24.15456232724102,0.00441823877604007,0.008168604101197505
22,60.0,0.010974917407774195,1.0
23,23.24095162003264,0.004251125408465568,0.3227909910235499
24,129.76314343637665,0.02373566302978983,0.9403126335969323
25,40.94822277616622,0.007490056049392707,0.10237055694041555
26,3.247660278159232,0.0005940467220217757,0.015539044393106372
27,66.99958992392551,0.012255249429497045,0.6666643067126204
28,25.539331975168974,0.004671534317953435,0.3007153836796924
29,7.453873248331773,0.001363427387807646,0.054407833929428995
30,11.592286208168234,0.0021204063950321047,0.43991429120186926
31,76.0,0.013901562049847313,1.0
32,101.0,0.018474444303086562,1.0
33,0.0846892436639014,1.5490957575636364e-05,0.00016100617816909764
34,22.407713791831764,0.004098713469373272,0.5600857087981307
35,162.0,0.029632277000990328,1.0
36,63.52886034052569,0.011620399920788184,0.6758389397928265
37,99.14004395225186,0.018134229902984463,0.18847918918837586
38,28.716461100265487,0.00525267981364957,0.1527471337723474
39,10.000002585815466,0.0018291533742808854,0.7500000043679316
40,90.0,0.016462376111661292,1.0
41,57.0,0.010426171537385485,1.0
42,166.5932930072774,0.030472460524066595,0.5575055529822226
43,1493.6730176495132,0.27321563338207094,0.5051312200370353
44,7.831758025672099,0.0014325482914903996,0.002648548537596246
45,751.4491388539243,0.13745153725108103,0.09231563727610355
46,17.48666216219445,0.00319857788279557,0.4601753074392217
47,14.938214057412429,0.002732427758329214,0.1009338787663002
48,114.60024308365142,0.02096213671256534,0.8364981246981855
49,19.0,0.0034753905124618283,1.0
50,93.03395953831408,0.01701733370085339,0.3040325475108303
51,5.768587026542473,0.0010551627695976895,0.04403501546978987
52,102.70838930436803,0.018786934828349294,0.9337126300397093
53,83.62403147063286,0.015296113978255095,0.6383513852720065
54,24.34346553861825,0.004452792061755544,0.97373862154473
55,92.74358190134177,0.01696421919113946,0.4637179095067088
56,3.882852741700607,0.0007102331357785625,0.028341990815332896
57,8.236856563623354,0.001506647008090818,0.05968736640306778
58,260.86114518423636,0.04771549205490645,0.7186257443091911
59,30.198919258698453,0.005523844077804284,0.053260880526805034
60,61.0,0.011157832697903766,1.0
61,152.96875738636285,0.027980324638086352,0.581630256221912
62,52.60266288137955,0.009621831342535499,0.38964935467688555
63,21.62132734611871,0.003954871364501708,0.5105100434065376
64,44.999997294746755,0.008231187560998464,0.9999999398832612
65,0.7590489504464606,0.00013884165899345988,0.03162703960193586
66,149.00040999723345,0.027254453224068827,0.5000035392514053
67,1.4559538632920475,0.000266316223319333,0.0055359462482587355
68,2.2156375490608884,0.0004052739851084416,0.010601136598377456
69,2.004559615312964,0.0003666646036169899,0.009591194331640976
70,79.08140302727314,0.014465197778587116,0.5001547404304929
71,33.0,0.006036204574275807,1.0
72,69.83776366229638,0.012774394802289278,0.12317065901639573
73,1.5572797180969715,0.0002848502714486024,0.00592121565816339
74,3.0329054109209066,0.0005547647731741401,0.01176348592120387
75,1.5570025353396901,0.0002847995704841354,0.00592016173132962
76,3.1720179521107528,0.0005802105840065425,0.012060904760877386
77,0.29001632372996194,5.304841999737726e-05,0.002116907472481474
78,105.0,0.01920610546360484,0.5
79,68.35016267219693,0.0125022898355882,0.023114698232058483
80,129.0,0.02359607242671452,1.0
81,294.8195744361551,0.05392700799386565,0.08321936135702701
82,0.6565342011886447,0.00012009014389040637,0.026261368047545787
83,212.96604046168588,0.038954745078795,0.6959674524891696
84,34.23481600823264,0.006262071302678318,0.3260458667450728
85,94.07945156498648,0.017208570178240325,0.4337702868154378
86,83.71535785176322,0.015312818969756038,0.5211679920435675
87,96.18465060625053,0.01759364327165363,0.43457690305984864
88,5.0,0.0009145764506478496,1.0
89,1241.0,0.22699787505079627,0.6666666666666666
90,25.531131828230098,0.004670034385697006,0.2024168251644398
91,221.02373469702306,0.04042862055762706,0.3720610695182328
92,581.4542014141647,0.10635686394872931,0.9014793820374646
93,244.0,0.04463133079161506,1.0
94,729.0,0.13334524650445648,1.0
95,2222.1937740911662,0.4064732189120096,0.7878335250075204
96,1356.2672442644018,0.24808201647785533,0.6758599504239523
97,59.93885225544282,0.01096373255033775,0.5883704599412507
98,134.96064961439117,0.02468636638029159,0.3690904873361083
99,182.0,0.03329058280358173,1.0
100,75.00931407865308,0.01372035044711686,0.5068196897206289
101,0.14562126678360898,2.663635626275934e-05,0.007664277199137315
102,419.8408811825712,0.0767953165897643,0.15157292441918782
103,435.97446821117836,0.07974639634193265,0.4190318551556848
104,369.4585837445366,0.06757962403649191,0.6667183613735247
105,31.0,0.005670373994016668,1.0
106,0.14665474842865825,2.6825395857707113e-05,0.007718670969929381
107,65.0,0.011889493858422044,1.0
108,7.2916106956319835,0.0013337470859033993,0.06628736996029076
109,41.607381502824694,0.00761062625912088,0.31761359925820376
110,605.526536431717,0.1107600620925611,0.32301085098060056
111,0.3585262294732922,6.557992928316801e-05,0.0005736419671572675
112,0.6802923160856178,0.00012443586636971785,0.0010884677057369885
113,18.466455993742297,0.0033777971557603075,0.029546329589987676
114,32.0,0.005853289284146237,1.0
115,23.0,0.004207051672980108,1.0
116,8.267553220008518,0.001512261895899518,0.03459227288706493
117,131.96818902898175,0.024138999584110123,0.9997590077953163
118,36.37575508158119,0.006653681794429601,0.09472852885828435
119,347.6242449184188,0.06358578961532525,0.9052714711417157
120,82.54579858583531,0.015098888697305109,0.5492603089812677
121,204.0,0.03731471918643226,1.0
122,58.55427097204415,0.01071047146317691,0.5576597235432776
123,9.754217118459826,0.0017841954542098964,0.09289730589009358
124,302.652012438941,0.05535968066356709,0.9061437498171886
125,31.347987561059078,0.00573402623970927,0.09385625018281162
126,102.1388548157636,0.018682758262127418,0.2813742556908088
127,14.804410373698238,0.0027079530187022276,0.03719701098919155
128,466.96331707900515,0.08541473062337258,0.8235684604567992
129,0.4551746572378658,8.325840448829177e-05,0.002275873286189329
130,65.85302066525414,0.012045524380893523,0.3292651033262707
131,439.0,0.08029981236688119,1.0
132,30.0,0.005487458703887098,1.0
133,64.0,0.011706578568292474,1.0
134,54.0,0.009877425666996776,1.0
135,104.0,0.01902319017347527,1.0
136,28.0,0.005121628123627957,1.0
137,9.0,0.0016462376111661293,1.0
138,26.0,0.004755797543368818,1.0
139,18.0,0.0032924752223322585,1.0
140,91.0,0.016645291401790864,1.0
