,2000-2010_vs_1985-2000,2010-2023_vs_2000-2010,1985-2023_vs_1985-2000
forest_formation,-4.139974668503781,0.12227238617079578,-4.123760397088545
forest_plantation,479.6688807691005,69.44765752892421,1199.5529021910113
grassland,-10.854202003219955,-11.616321913405331,-39.00730684130284
soybean,141.52582499575627,41.273882760631125,365.4353992391783
urban_area,62.85516831281335,18.532300910153452,137.0501523537339
rice,60.97290708577688,16.750766088225586,207.45592668588716
wetland,-3.160430159771072,1.9049269183348194,-0.28951986008960306
