ti_id,pop_part_final_corrigido,area_km2,IR_global
0,8,2.973007532295054,0.002779708130646282
1,496,3.295298347434462,0.1723419041000695
2,22,0.14601466887365022,0.007644197359277276
3,0,1.1312675068139983,0.0
4,1,0.5568024571927647,0.00034746351633078526
5,19,0.12950054161166583,0.00660180681028492
6,174,42.336225246972546,0.06045865184155664
7,131,1.6178425675143888,0.04551772063933287
8,30,1.8179272737617491,0.010423905489923557
9,446,44.232503685037344,0.15496872828353023
10,2878,234.04713544629263,1.0
11,3,0.3965771939157064,0.0010423905489923557
12,61,0.760550278609829,0.0211952744961779
13,624,46.14089513719123,0.21681723419041002
14,0,0.22821678902800394,0.0
15,1146,117.21077350868529,0.39819318971507994
16,29,0.1941975315258099,0.010076441973592773
17,8,0.10673938481628378,0.002779708130646282
18,0,0.1126680826432811,0.0
19,3,0.10901056436338065,0.0010423905489923557
20,37,1.3120431693890526,0.012856150104239055
21,12,0.08441682328065774,0.004169562195969423
22,31,0.23609947655971739,0.010771369006254344
23,12,78.85635225942549,0.004169562195969423
24,68,9.284297741276063,0.0236275191104934
25,21,0.20096178279810417,0.007296733842946491
26,1,1.6166131438713949,0.00034746351633078526
27,35,38.34753539215877,0.012161223071577484
28,13,73.22513316551917,0.004517025712300208
29,3,1.4343861256746782,0.0010423905489923557
30,6,12.002655490700336,0.0020847810979847115
31,40,66.01912410308375,0.01389854065323141
32,53,23.095453691496164,0.01841556636553162
33,0,0.05620365600776343,0.0
34,11,25.53580576782758,0.003822098679638638
35,85,0.4873535923132428,0.029534398888116747
36,33,24.77796248009228,0.011466296038915913
37,52,65.7938664871342,0.018068102849200834
38,15,11.200191428706887,0.005211952744961779
39,5,91.98551021295089,0.0017373175816539264
40,47,0.920442311242956,0.01633078526754691
41,30,0.21067864027057784,0.010423905489923557
42,87,81.93088413987567,0.03022932592077832
43,786,5.220178675222889,0.2731063238359972
44,4,0.0273709009616135,0.001389854065323141
45,395,19.128252170749207,0.13724808895066018
46,9,33.45411266067247,0.0031271716469770676
47,7,0.4677938267562548,0.002432244614315497
48,60,22.053098194945115,0.020847810979847115
49,10,270.63913909186084,0.0034746351633078527
50,48,2.6251944583690254,0.01667824878387769
51,3,0.7252261128679932,0.0010423905489923557
52,54,0.09552122189357667,0.018763029881862403
53,44,10.513203841209531,0.015288394718554551
54,12,16.09955495141835,0.004169562195969423
55,48,0.4484544991509098,0.01667824878387769
56,2,0.7471967814826647,0.0006949270326615705
57,4,0.5893308898328162,0.001389854065323141
58,137,0.2124753543585454,0.04760250173731758
59,15,0.38423686131059975,0.005211952744961779
60,32,1.4436134638934643,0.011118832522585128
61,80,101.51706626540476,0.02779708130646282
62,27,0.9748210884433081,0.009381514940931202
63,11,0.45524138548407944,0.003822098679638638
64,23,2.511679146903962,0.007991660875608061
