modfiscais,area,inscricao,Name,area_ha,other_name,population,land_tenur,cd_setor,nm_rgi,etnia_nome,TI,cod_imovel,mod_fiscal,num_area,codigo_imo,nome_area,fase_ti,modalidade,undadm_nom,undadm_sig,N_familias,fonte,atingida,reestudo_t,cr,Cod_ibge,Label_N,rotulo,abrv,NOM_BIOMA,nm_uveg,nm_uantr,nm_contat,veg_pretet,nm_pretet,nm_sec1,nm_sec2,leg_sup,legenda_1,legenda_2,legenda,nome_port,SPRAREA,SPRPERIMET,SPRCLASSE,teste_AREA,area_hec,dist_buf,tipo_area,Shape_Leng,_mean,cob23_ha,cob23_pc,uso23_ha,uso23_pc,agrosil_ha,agrosil_pc,aggp_ha,aggp_pc,agfam_ha,agfam_pc,silv_ha,silv_pc,urb_ha,urb_pc,reg8523_ha,reg8523_pc,deg8523_ha,deg8523_pc,sum_area,max_area,std_area,sum_length,mean_frac,np,ed,lpi,tc_edge,desl_area,desl_count,desl_pc,ada_area,ada_pc,pz,Shape_Le_1,parea_med,p_deg,p_reg,p_agro,p_urb,p_ivps,p_cob,p_deslct,p_deslpc,p_adapc,p_parea,imp_amb,imp_amb_n,Shape_Le_2,Shape_Area,cob_pc,p_lpi,p_ed,p_frac,cap_adap,ca_norm,source,total_area_px,forest_1985_px,forest_2023_px,human_1985_px,human_2023_px,regenerated_px,degenerated_px,regeneration_%,degeneration_%,net_forest_change,net_change_%,forest_cover_1985_%,forest_cover_2023_%
0.0,0.0,,,4420.27378523,,,,,,"Guaraní,Kaingang",,,0.0,0.0,,,Regularizada,Tradicionalmente ocupada,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD,,FUNAI,,,COORDENACAO REGIONAL DE PASSO FUNDO,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,4423.25036822,10000.0,TI,38730.7694974,1.66640540548,2780.19,62.8540048281,2234.88,50.5257404387,2225.43,50.3120966425,1799.91,40.6920217072,410.94,9.29045307841,14.58,0.32962185692,9.45,0.21364379615,570.33,12.8939117735,516.69,11.6812288925,24497495.0799,15419136.5778,5550919.23899,328247.797165,1.20092427741,0,74.2096354081,34.8592896473,328247.797165,0.0,0,0.0,0.0,0.0,55.3834692567,38730.7694974,11389429.0371,0.00292030722,0.00226540769,0.07546814496,0.00045506129,0.00590665035,0.18552847336,0.0,0.0,0.0,0.00099848783,0.30195779494,0.42290648306,38730.7694974,44232503.685,49.4742595613,0.11692311257,0.14453628669,0.28582661214,0.5472860114,0.87363805635,FUNAI,124092,41245,32803,17705,26147,3943,12385,22.270545043772945,30.02788216753546,-8442,-20.46793550733422,33.23743674048287,26.434419624149825
0.0,0.0,,,23404.3655204,,,,,,"Guaraní,Kaingang",,,0.0,0.0,,,Regularizada,Tradicionalmente ocupada,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD,,FUNAI,,,COORDENACAO REGIONAL DE PASSO FUNDO,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,23404.7135451,10000.0,TI,93927.4185262,1.69559260076,16448.4,70.2781513147,10020.78,42.8152217317,9981.18,42.6460250443,5899.95,25.2083837242,4081.23,17.4376413201,0.0,0.0,39.6,0.16919668734,908.64,3.88229489863,1968.12,8.40907536086,145426692.627,136539143.271,32683319.4743,1167307.84325,1.21441278496,0,49.8749040882,58.3383099351,1167307.84325,0.0,0,0.0,0.0,0.0,62.1356430403,93927.4185262,128208619.239,0.00210226884,0.00068210337,0.06396903757,0.00036038894,0.00669722263,0.21444291851,0.0,0.0,0.0,0.01123978611,0.25276410998,0.34763409734,93927.4185262,234047135.446,57.1847782684,0.19567515141,0.09714012737,0.28903695145,0.58185223023,0.9288164523,FUNAI,702448,204155,198912,105294,110537,12184,17427,11.57140957699394,8.536161250030613,-5243,-2.5681467512429283,29.06336127371706,28.316971505364098
0.0,0.0,,,39.652794347,,,,431470405000033P,Nonoai,Guarani,Passo Feio - Mbaraká Miri,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,39.6577193916,3000.0,TI,3450.29663638,1.79062499851,20.61,51.9697055609,24.03,60.5934994968,24.03,60.5934994968,3.51,8.85073588156,20.52,51.7427636153,0.0,0.0,0.0,0.0,10.98,27.6869173731,4.05,10.2123875556,181642.033411,181050.813823,14536.2773876,623.983583003,0.0016426639,0,15.7342276,45.6533599513,623.983583003,0.0,0,0.0,0.0,0.0,45.802440533,3450.29663638,180463.443088,0.00255309689,0.00486447843,0.09089024925,0.0,0.0092712959,0.14777437689,0.0,0.0,0.0,1.582086e-05,0.35605996586,0.50568945574,3450.29663638,396577.193916,39.4065005032,0.15312798966,0.03064516917,0.00039096308,0.18416412192,0.29398300371,IBGE Setores Censo 2022,1032,217,336,381,262,169,50,44.35695538057743,23.04147465437788,119,54.83870967741935,21.027131782945737,32.55813953488372
0.0,0.0,,L040 - Bacia Hidrográfica da Lagoa Mirim e do Canal São Gonçalo,76.0360838769,,,,,,Kaingang,Giró,,0.0,0.0,8610220215719,ESTÂNCIA SERENA,,,,,,"Fuhr et al., 2022",naoinf,,,4315602.0,Rio Grande,Lagoa Mirim e do Canal São Gonçalo,,Pampa,,Pecuária (pastagens),,P,Formação Pioneira,Formação Pioneira com influência fluvial e/ou lacustre herbácea sem palmeiras,,Área Antrópica Dominante,Formação Pioneira,Pecuária (pastagens),3Ap - Pecuária (pastagens),,0.0,0.0,,0.0,76.055027861,3000.0,TI,3677.58027632,2.2573135013,90.45,118.92704867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,3.3133904107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3677.58027632,0.0,0.0,0.00058214918,0.0,0.0,0.02191214711,0.375,0.0,0.0,0.0,0.0,0.05232999794,0.04094526507,3677.58027632,760550.27861,100.0,0.0,0.0,0.0,0.0,0.0,"Fuhr et al., 2022 (SIGEF)",1664,1057,1081,24,0,24,0,100.0,0.0,24,2.270577105014191,63.52163461538461,64.9639423076923
0.0,0.0,,,4611.75840802,,,,,,Kaingang,,,0.0,0.0,,,Regularizada,Tradicionalmente ocupada,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD,,FUNAI,,,COORDENACAO REGIONAL DE PASSO FUNDO,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,4614.08951372,10000.0,TI,45205.600095,1.85737801811,3168.36,68.6670683475,2065.68,44.7689624108,2065.68,44.7689624108,1448.55,31.3940593413,605.52,13.1232824634,4.5,0.0975273667,0.0,0.0,369.9,8.0167495429,331.47,7.18386583126,27895732.7549,25106620.4234,7508623.12404,343827.334595,1.0794214587,0,74.5168323182,54.4129461484,343827.334595,0.0,0,0.0,0.0,0.0,60.4577190624,45205.600095,22614692.6853,0.00179596646,0.00140851019,0.06715344362,0.0,0.01107938627,0.20711639096,0.0,0.0,0.0,0.00198258362,0.27552131157,0.38245541348,45205.600095,46140895.1372,55.2310375892,0.18250891203,0.14513460657,0.25690827009,0.58455178869,0.93312578409,FUNAI,122140,37813,37687,23799,23925,3889,4015,16.341022732047563,10.618041414328406,-126,-0.3332187342977283,30.958735876862615,30.855575569019155
0.0,22.7800189811,,,22.7982538944,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,32574.9468,1373.0741,Áreas_Degradadas,0.0,22.8216788279,3000.0,TI,2158.81693266,2.15663270074,22.23,97.407382549,4.23,18.5350080154,4.23,18.5350080154,0.0,0.0,1.71,7.49287558069,1.8,7.88723745336,0.0,0.0,3.96,17.3519223974,3.06,13.4083036707,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2158.81693266,0.0,0.00335207592,0.00304866197,0.02780251202,0.0,0.01918507967,0.30549371994,0.0,0.0,0.0,0.0,0.1477972857,0.18702195184,2158.81693266,228216.789028,81.4649919846,0.0,0.0,0.0,0.0,0.0,,672,275,312,77,40,71,34,92.20779220779221,12.363636363636363,37,13.454545454545455,40.922619047619044,46.42857142857143
0.0,0.0,,,11719.287084,,,,,,Kaingang,,,0.0,0.0,,,Declarada,Tradicionalmente ocupada,COORDENACAO REGIONAL DE PASSO FUNDO,CR-PFD,,FUNAI,,,COORDENACAO REGIONAL DE PASSO FUNDO,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,11721.0773509,10000.0,TI,86131.3479349,1.88645993593,2693.61,22.9809079777,10580.76,90.2712240798,10565.01,90.1368507664,8014.23,68.3745167793,2539.08,21.6625138115,2.07,0.01766049262,15.75,0.13437331338,1360.44,11.6067828858,482.76,4.11873401691,23775668.4497,904811.208549,245124.24564,770638.920821,1.30766626647,0,65.7481302914,0.77195225444,770638.920821,0.0,0,0.0,0.0,0.0,20.284541888,86131.3479344,223613.987544,0.0010296835,0.0020392644,0.13520527615,0.00028621516,0.01186710698,0.0364829097,0.0,0.0,0.0,1.960378e-05,0.51584650391,0.75018250268,86131.3479344,117210773.509,9.72877592022,0.00258923981,0.12805602071,0.3112317952,0.44187705572,0.70537270104,FUNAI,308098,24249,35466,131652,120435,16898,5681,12.83535381156382,23.42777021732855,11217,46.2575776320673,7.870547682880123,11.51127238735727
0.0,0.0,,,19.4020557157,,,,431490205000471P,Porto Alegre,Guarani,Lomba do Pinheiro,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,19.4197531526,3000.0,TI,2245.32274987,2.16942201122,9.18,47.2714556558,13.14,67.6630639779,0.45,2.31722821842,0.0,0.0,0.0,0.0,0.0,0.0,12.69,65.3458357595,0.18,0.92689128737,10.17,52.3693577363,776.915686847,776.915686847,107.203727501,111.768066121,0.01362417289,0,5.75538037187,0.4000646562,111.768066121,0.0,0,0.0,0.0,0.0,0.4000646562,2245.32274987,7.4681105931,0.01309233943,0.00016285102,0.00347584233,0.13918663017,0.0195314944,0.12126351008,0.0,0.0,0.0,6.5e-10,0.45985994458,0.66451618407,2245.32274987,194197.531526,32.3369360221,0.00134187487,0.01120961318,0.00324262841,0.01579411646,0.02521230385,IBGE Setores Censo 2022,575,269,148,33,154,0,121,0.0,44.98141263940521,-121,-44.98141263940521,46.78260869565217,25.73913043478261
0.0,0.0,,,10.6700007815,,,,431560205340002P,Pelotas,Guarani,Tekoa Yyrembe,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,10.6739384816,3000.0,TI,1385.83739275,2.65833330154,0.0,0.0,12.6,118.044525193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,100.0,0.0,0.0,10.98,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1385.83739275,0.0,0.025,0.0,0.0,0.213,0.03277427806,0.0,0.0,0.0,0.0,0.0,0.67677427806,0.99642178117,1385.83739275,106739.384816,0.0,0.0,0.0,0.0,0.0,0.0,IBGE Setores Censo 2022,361,162,0,15,177,0,162,0.0,100.0,-162,-100.0,44.87534626038781,0.0
0.0,0.0,,,11.2500099609,,,,,,,,,0.0,0.0,,,,,,,,ITAPOTY,,,,0.0,,,,,,,,,,,,,,,,,5512.6179,393.4266,Conservação_Florestas_Pampa,5512.61791382,11.2668082643,3000.0,TI,2014.82779071,2.03776594341,10.35,91.8627508093,2.34,20.7689697482,2.34,20.7689697482,0.0,0.0,1.08,9.58567834532,1.26,11.1832914029,0.0,0.0,0.0,0.0,2.34,20.7689697482,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2014.82779071,0.0,0.00519224244,0.0,0.03115345462,0.0,0.01596542248,0.29711636344,0.0,0.0,0.0,0.0,0.1611947561,0.2075217286,2014.82779071,112668.082643,79.2310302518,0.0,0.0,0.0,0.0,0.0,ITAPOTY,432,186,142,5,49,2,46,40.0,24.731182795698924,-44,-23.655913978494624,43.05555555555556,32.870370370370374
