ti_id,pop_corrigida_global,pop_corrigida_mun,mun_id,pop_total,IR_global,IR_municipal
0,8.430784696736305,0.0,245,7418,0.0011365306951653148,0.0
1,496.5298396759189,1.6357143665373314e-07,328,1332845,0.00037253382026861256,1.2272352498132426e-13
2,22.001237266593424,0.0,328,1332845,1.65069736290367e-05,0.0
3,0.897654975464779,0.0,41,12225,7.342780985396965e-05,0.0
4,1.578967286228877,0.0,245,7418,0.00021285619927593382,0.0
5,19.512916643030906,1.9187133120072583e-08,328,1332845,1.4640049400366063e-05,1.4395622236698626e-14
6,174.67764461631336,118.39757240859856,183,16602,0.010521482027244511,0.00713152466019748
7,131.3674310394309,0.0,343,191900,0.0006845619126598796,0.0
8,30.570401766011937,58.05246927811902,356,10203,0.0029962169720682092,0.005689745102236501
9,446.9278062653138,814.7053242329353,66,4603,0.09709489599507143,0.17699442194936676
10,2878.925582053882,5464.011537797849,339,9738,0.2956382811720971,0.5611020268841497
11,3.9700240255542028,0.0,323,10406,0.0003815129757403616,0.0
12,61.75603132435695,0.0,343,191900,0.00032181360773505445,0.0
13,624.196315109541,1097.0,108,2768,0.2255044491002677,0.3963150289017341
14,0.6245165721917806,1.1859421867705846,484,224112,2.7866270980214384e-06,5.29173889292222e-06
15,1146.0799384650168,2176.378672653881,147,1296,0.8843209401736241,1.6793045313687354
16,29.26134751148369,0.0,328,1332845,2.195405130490319e-05,0.0
17,8.667146640595316,0.0,343,191900,4.516491214484271e-05,0.0
18,0.03101264046071912,0.0,345,4473,6.933297666156745e-06,0.0
19,3.0976464725048785,0.0,64,80070,3.868673001754563e-05,0.0
20,37.28304608977329,0.0,64,80070,0.0004656306493040251,0.0
21,12.719780639964192,0.0,328,1332845,9.54333072485112e-06,0.0
22,31.595970486169605,0.0,385,58487,0.0005402221089501873,0.0
23,12.238673690950783,5.704790999308446e-07,89,3991,0.0030665682011903742,1.429413931172249e-10
24,68.3332075034725,0.0,92,61804,0.0011056437690679,0.0
25,21.563313971614097,0.0,373,76917,0.0002803452289040667,0.0
26,1.7102163049637409,0.0,69,62200,2.7495438986555318e-05,0.0
27,35.28195109703028,0.0,144,39559,0.0008918817739839299,0.0
28,13.448999655398774,5.53932334822612,155,6787,0.0019815823862382163,0.0008161666934177281
29,3.925205986032331,7.453873248331773,484,224112,1.751448376718931e-05,3.3259590063592186e-05
30,6.104492215008574,0.0,163,3070,0.0019884339462568645,0.0
31,40.02156261581483,0.0,429,5541,0.007222805019999067,0.0
32,53.1865503183855,0.0,33,117938,0.0004509704278382328,0.0
33,0.04459731405501092,0.0,41,12225,3.6480420494896456e-06,0.0
34,11.799891060487534,0.0,163,3070,0.0038436127232858415,0.0
35,85.30912031265794,0.0,182,1744,0.0489157799957901,0.0
36,33.454266605654006,0.0,191,92924,0.00036001750468828294,0.0
37,52.20709837854845,0.0,41,12225,0.00427051929476879,0.0
38,15.122074289853765,0.0,191,92924,0.00016273593786162634,0.0
39,5.2659964427174195,2.585815466149153e-06,223,2040,0.002581370805253637,1.2675566010535064e-09
40,47.39395572925441,0.0,236,2601,0.0182214362665338,0.0
41,30.016171961861126,0.0,261,64322,0.00046665482979169065,0.0
42,87.72794615086237,0.0,69,62200,0.0014104171406891055,0.0
43,786.5674763606985,0.0,328,1332845,0.0005901417466852474,0.0
44,4.124199923899293,0.0,328,1332845,3.0942832241553165e-06,0.0
45,395.7127468847693,751.4491388539243,339,9738,0.040635936217372076,0.07716668092564431
46,9.208467692971908,0.0,345,4473,0.00205867822333376,0.0
47,7.866456174568117,14.938214057412429,356,10203,0.0007709944305173103,0.001464100172244676
48,60.34843163631521,114.60024308365142,484,224112,0.0002692780022324338,0.0005113525517761272
49,10.005390653953707,0.0,4,4170,0.0023993742575428557,0.0
50,48.99163732973448,93.0339595383141,5,3912,0.01252342467529,0.023781686998546547
51,3.037735090625614,0.0,81,48946,6.206298963399695e-05,0.0
52,54.086187285713834,0.0,46,123151,0.0004391859366607972,0.0
53,44.03637383801057,0.0,81,48946,0.0008996930053121924,0.0
54,12.819256978154485,24.343465538618247,296,12844,0.0009980735735093805,0.0018953180892726756
55,48.8387246089408,0.0,373,76917,0.0006349535812491491,0.0
56,2.044708343815252,3.882852741700607,484,224112,9.123600448950756e-06,1.7325501274811733e-05
57,4.337524614717598,0.0,92,61804,7.018193991841301e-05,0.0
58,137.36935073715895,0.0,313,325685,0.000421785930384141,0.0
59,15.902736026867586,0.0,364,271735,5.852295812783626e-05,0.0
60,32.12256999427243,0.0,384,21893,0.0014672530029814293,0.0
61,80.55327239475932,0.0,41,12225,0.006589224735767634,0.0
62,27.700536398233293,0.0,64,80070,0.00034595399523208807,0.0
