ti_id,pop_part_final,IR_municipal_corrigido,IR_global
0,16.009860561985302,0.14823944964801206,0.002928448289629501
1,942.8984114792673,0.31886994076638897,0.1724705364984408
2,41.77982874662568,0.014129127070214976,0.007642169496752782
3,1.7046255487376907,0.006481465964782094,0.000311802076809632
4,2.9984214985642543,0.027763162023743095,0.0005484571383406203
5,37.05456678706336,0.012531135333787686,0.00677784683448122
6,331.7087120829684,2.2212855880764693,0.060674595309162145
7,249.46364175824365,0.6267930697443308,0.04563071440898823
8,58.05246927811902,0.39224641404134475,0.010618684260745085
9,848.7053242329353,2.876027230357995,0.15524118061657805
10,5467.011529170906,4.311791807049332,1.0
11,7.538981644432136,0.005672672418684827,0.0013789950147728063
12,117.27324156994489,0.2946563858541329,0.02145106900620161
13,1185.3340261526737,3.0167013076336806,0.21681571729416751
14,1.1859421867705846,0.008656512312194048,0.0002169269591700381
15,2176.378672653881,3.9789799131869246,0.3980929363402929
16,55.56660623725831,0.01879154759460883,0.010163981901403673
17,16.458706298113217,0.04135353341234477,0.003010549037676759
18,0.058892270090505704,0.003099593162658195,1.0772296669993843e-05
19,5.882357322483512,0.04357301720358157,0.0010759730962878716
20,70.79962194437371,0.5244416440323979,0.012950333389018983
21,24.15456232724102,0.008168604101197505,0.00441823877604007
22,60.0,1.0,0.010974917407774195
23,23.24095162003264,0.9683729730706497,0.004251125408465568
24,129.76314343637665,0.9403126335969323,0.02373566302978983
25,40.94822277616622,0.2047411138808311,0.007490056049392707
26,3.247660278159232,0.015539044393106372,0.0005940467220217757
27,66.99958992392551,1.9999929201378612,0.012255249429497045
28,25.539331975168974,1.503576918398462,0.004671534317953435
29,7.453873248331773,0.054407833929428995,0.001363427387807646
30,11.592286208168234,1.3197428736056078,0.0021204063950321047
31,76.0,2.0,0.013901562049847313
32,101.0,1.0,0.018474444303086562
33,0.0846892436639014,0.00032201235633819527,1.5490957575636364e-05
34,22.407713791831764,1.6802571263943922,0.004098713469373272
35,162.0,1.0,0.029632277000990328
36,63.52886034052569,0.6758389397928265,0.011620399920788184
37,99.14004395225186,0.3769583783767517,0.018134229902984463
38,28.716461100265487,0.3054942675446948,0.00525267981364957
39,10.000002585815466,3.0000000174717263,0.0018291533742808854
