,pol_id,regeneration_%_se,degeneration_%_se,forest_cover_2023_%_se,forest_formation_se,soybean_se,forest_plantation_se,urban_area_se,regeneration_%_ex,degeneration_%_ex,forest_cover_2023_%_ex,forest_formation_ex,soybean_ex,forest_plantation_ex,urban_area_ex,proximity_index,txalfabeti_imputed,ex_score,se_score,ca_score,vulnerability_raw
0,0,0.6579861111111112,8.797736916548798,0.6549697704813217,88.57874519846351,0.0,9.039692701664533,0.0,23.409475004088755,21.742456755798546,48.78751424591617,61.39347021204982,0.6381128688432627,6.7653988556041735,0.9873218893750701,0.9989171540943776,0.873740665308893,7.533322592405263,,49.529749759737385,
1,1,0.5859375,1.6560798548094373,0.7194451007526919,54.45933456561922,0.23105360443622922,0.0,0.0,51.420079260237785,16.528925619834713,61.75029515938607,46.54197706979447,0.11095260738627358,14.011729275637977,0.5402335288212606,0.924724713476423,0.3550984385607623,7.797960257920057,,44.97403890653937,
2,2,0.24242424242424243,0.7518796992481203,1.0,43.54838709677419,0.0,0.0,16.129032258064516,2.604434072345391,30.596983749007812,30.76027372720433,27.66573816155989,0.0,0.03565459610027855,60.8824512534819,0.9764683000127653,0.22958927359130943,,,40.190992963195455,
3,3,0.2485549132947977,18.75,0.21005917159763315,0.0,0.0,0.0,0.20174848688634836,6.481939633844632,40.668784832543366,16.37674238806649,0.0,0.0,0.12445072673078696,2.7394524168023846,0.9250172347238547,0.25589613034623016,,,27.245969249804208,
4,4,0.0,17.417783191230207,0.5595492188166995,84.01639344262296,0.0,15.983606557377051,0.0,26.323547475740085,12.705630600508226,60.706937095825985,77.07483511875262,0.0,6.04437497617323,0.0,0.9850638468851345,0.7939443312966739,,,30.884881278036495,
5,5,0.0,0.975609756097561,0.8827410406357775,22.674418604651162,0.0,0.0,0.0,71.51037938439512,9.133573147199657,70.5769924269744,59.83318189231378,0.0,7.560401668181077,0.4869411243913236,0.93739799344093,0.26850644942294677,,,32.43608078490994,
6,6,0.9795918367346939,1.2283236994219653,0.7591482591482592,0.0,0.0749063670411985,1.1235955056179776,0.0,63.74481852188859,8.871172928504793,67.43979200875752,0.0,1.1663097534644178,1.8317611454259066,0.6318248588570519,0.29484247254973084,0.6070739986422282,3.125267171563042,,57.181150548048805,
7,7,0.02297796078598707,36.989659950964715,0.12421603385458807,12.324184323177093,74.92355840138134,0.6151300406489442,0.021583510198208568,3.020784560572281,33.430229263704256,13.261932980107826,16.296480701150646,68.68349984684906,1.2067806207311464,1.682707855117987,0.9010018147601365,0.8297454175152774,26.250804396600614,28.137482975798306,24.383888835550476,30.004398536848445
8,8,0.9696969696969697,0.9332711152589827,0.7084954551621219,0.0,0.047103155911446065,0.7065473386716911,0.0,57.50316322226908,8.842077521131003,65.52673095856612,0.0,1.0435916947494293,2.0095351979252403,0.5544080878356343,0.2943046794855403,0.6070739986422282,3.1124031254103266,,56.08215332234855,
9,9,0.03386581469648562,10.161443494776828,0.26890358510268014,37.40041928721174,59.74842767295597,0.04192872117400419,0.04192872117400419,7.501918649270914,27.42616033755274,31.72489645005031,37.423218199215974,39.05145538167114,0.6682717535574282,6.786122171806032,0.6406543511608498,0.7697250509164983,18.483002411146835,17.498432152520202,26.581195946152587,9.40023861751445
10,10,0.22270545043772946,30.02788216753546,0.39312726620530514,49.85706905458929,32.08024797657999,0.24625452040640608,0.18426037540898915,6.402622068058091,43.77748503458029,18.272599074591255,21.00741980238337,55.254330443218876,1.4257724927710052,0.6316122076832615,0.9843167102511515,0.9263408010862184,25.27230004456336,15.63466125998271,34.62982034454348,6.2771409600025905
11,11,0.1157140957699394,8.536161250030613,0.42112419161823533,64.53630252428954,21.539758048247183,0.0,0.11485875301788934,9.388703124785929,12.914642469988358,22.334310088719693,31.658007745212245,38.3901319405317,0.2106255278600654,0.9769660014909707,0.9835165019878322,0.9161575016972163,13.123091484967775,,32.35047439608647,
12,12,0.44356955380577434,23.04147465437788,0.48419797257006564,53.63984674329502,4.789272030651341,0.0,0.0,25.65811677354033,10.32255598868761,46.959631277813095,59.46082799967593,6.860163655513246,0.3645791136676659,0.06278862513165356,0.9400689942964577,0.8845892735913101,4.4025218457500435,,41.3637909774394,
13,13,1.0,0.0,0.9661304240631164,0.0,0.0,0.0,0.0,27.10142990779099,0.7418462754049426,70.54537854018304,0.0,0.03615810607646488,0.0,0.0,0.1147166567871386,0.6204684317718954,,,61.22441474111988,
14,14,0.16341022732047564,10.618041414328406,0.45887779051361827,60.974160974160974,26.096426096426097,0.07095007095007096,0.5544005544005544,6.188087052359725,26.59521036152046,21.080057992477585,27.434910021183427,52.99128524085718,1.3212008004132911,1.51848417785057,0.9623186146989102,0.8930753564154785,20.606545145160375,9.334954534026283,34.0022292289414,-4.060729549754747
15,15,0.9220779220779222,12.363636363636363,0.6904761904761906,25.08361204013378,0.0,7.023411371237458,0.6688963210702341,45.00164527805199,13.828412688158151,56.76179185367093,29.048578562354898,0.15988435761531386,10.863375531122694,0.6044942835866661,0.883612619442588,0.3548710115410745,6.364041715120706,,52.878619063951575,
16,16,0.1283535381156382,23.42777021732855,0.17119328165813377,21.41687780159813,52.78048463587345,0.012992918859221724,0.1364256480218281,5.104833583460187,33.203876806758146,12.409850483729112,15.561408224453219,53.78867699994178,0.45519477981637474,1.0463019312478017,0.9002823233430108,0.8896809232858112,22.123512629441024,19.08941835502076,28.249227130566023,12.963703853895762
17,17,0.0,44.98141263940521,0.38278706800445933,3.1372549019607843,0.0,0.0,47.45098039215686,2.0874343832021,21.931617578741985,29.68792866941015,25.619525507284653,0.0,0.2288833135261235,60.596857256041204,0.9840818889256858,0.8704005431093007,,,28.476303080927075,
18,18,0.0,100.0,0.0,0.0,0.0,0.0,100.0,3.7964458804523424,42.0940036494054,18.458348359177787,0.0,0.018739751698289998,0.15694542047317875,25.82806277816819,0.25758050510815866,0.6298472505091666,17.024437899936267,,20.08822012627705,
19,19,0.4,24.731182795698924,0.48884140550807226,75.34246575342466,0.0,14.383561643835616,0.0,29.554874752207606,34.43748433976447,48.70981869142506,60.73318216175358,0.0,25.172291138677693,0.0,0.9447294274403626,0.39580787508486015,,,36.75389994945268,
20,20,0.9500000000000001,0.6097560975609756,0.9701314217443252,20.27972027972028,0.0,0.0,0.0,5.475801598899682,71.14754098360656,18.177133312009097,3.2230455640892814,60.58019324759567,0.3310885380301358,0.0,0.539865740393715,0.8286116768499667,,,61.680935162697,
21,21,0.4077669902912621,92.95612009237875,0.1009927270796836,1.686046511627907,90.34883720930232,0.6976744186046512,0.23255813953488372,8.38047138047138,76.18807385733024,13.27092434643922,4.627162086466485,67.8967290750768,0.10354251183949212,0.8945394055641369,0.5389089287390294,0.7148811948404612,36.27072121245267,46.05879746495515,32.676724556754095,49.652794120653724
22,22,0.42857142857142855,2.9850746268656714,0.8949994198862978,0.0,0.0,0.0,3.669724770642202,43.69454154342565,10.406814426528403,64.75385361848244,6.652253450856478,0.03801287686203701,2.1904920291748833,4.768240241381768,0.9328038771774866,0.3544738628649031,4.350889893486773,,43.98843555235838,
23,23,0.05714285714285715,51.78571428571429,0.30425541536652645,25.732899022801302,0.0,0.0,60.26058631921825,15.689450383327936,39.30108703582111,33.658217385314785,12.826321229848908,11.449559040225209,0.035188809958433216,30.867184235413138,0.16663651152868075,0.3544738628649031,20.41325478035447,,24.580569004425392,
24,24,0.0450738888192601,26.141103213299655,0.12245730583248518,0.0,2.567048328860227,0.0,0.015446699233457551,7.6750266920192605,33.738329226731615,14.91106294428843,0.9874868013572818,7.543612602478782,0.5326054237218635,0.46811496821608406,0.8125757597973462,0.1756211812627284,10.570665555287086,,20.06699069813209,
25,25,0.13094017094017094,29.634397528321315,0.13042428033956333,21.706316652994257,44.34782608695652,2.9942575881870384,15.89827727645611,4.95716402983456,33.917197452229296,17.240187463386057,18.199966038657948,59.75332469113817,0.9712115501695996,11.26729647009124,0.9003508629834656,0.7952274270196873,26.477257540907075,23.218689619980246,26.93291911564797,22.763028045239352
26,26,0.10982658959537572,0.6802721088435374,0.2726495726495727,50.97276264591439,28.404669260700388,0.0,0.0,8.529233685208098,14.098737083811711,17.645897106744346,21.59004867495944,26.743104380746352,0.09951325040562466,0.0,0.7718139635823136,0.8434725050916501,,,29.11912656411331,
27,27,0.5700483091787439,6.432748538011696,0.8039447731755425,84.73857748469148,0.0,4.380593499764484,0.0,33.63038877130444,22.72762405317669,55.0635018179956,60.46206266101554,0.8144269924374636,7.294938917975567,0.0,0.7243736537658966,0.35470128988459093,,,45.94426500232653,
