,forest_plantation_se,soybean_se,urban_area_se,agropec_se,degeneration_%_se,mining_threat_density_se,heat_density_se,forest_plantation_ex,soybean_ex,urban_area_ex,agropec_ex,degeneration_%_ex,mining_threat_density_ex,heat_density_ex,forest_formation_ex,grassland_ex,regeneration_%_ex,txalfabeti_imputed,proximity_index,status_fundiario
count,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0
mean,4.992436554337531,10.590465101529306,12.587671168768372,12.93038313088257,26.551387524496533,0.4243692660051285,0.32314718529558323,5.539683962402585,17.04278726851228,8.219761074763202,14.531050604767781,31.284158855506757,0.4243692660051285,0.19866850724761242,25.407441681446787,13.066168845926986,16.56850161064802,78.6826645390071,0.7942259283513433,0.18617021276595744
std,12.274882800294593,20.121139528428433,27.794385983026498,17.928693731745597,26.927923550258672,1.7630069152746917,0.8391246477072009,8.114238305395356,22.367516323480086,14.800989349573028,12.357039201681111,13.990250973321679,1.7630069152746917,0.379434429505776,19.280081481807926,15.98407418091087,14.950346523428305,8.530676735624997,0.21192124509902918,0.3724967105788953
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01642151687897342,0.7418462754049426,0.0,0.0,0.0,0.0,0.5211157298632448,61.54,0.0,0.0
25%,0.0,0.0,0.0,0.5376344086021506,4.679802955665025,0.0,0.0,0.5326054237218635,0.37351367530035695,0.2262130095563455,5.348926380368098,21.9285066009747,0.0,0.029701031580112405,11.680940556428318,0.3322948357013764,6.364836615689294,70.99369999999999,0.7151615257370811,0.0
50%,0.018212372823828406,0.0,0.0008442309478180852,6.457660980482557,19.71971971971972,0.0,0.0,1.770333299288462,5.290614468399427,0.9873218893750701,11.252363754219607,31.58874840733118,0.0,0.10398520341149481,21.01350075528701,5.289543119011248,10.434547282146447,80.85590000000005,0.8745100433476718,0.0
75%,4.380593499764484,9.46585840100652,2.163706878954889,17.1334431630972,36.989659950964715,0.16817986317512554,0.1073552679181442,7.255948777221274,27.08252143413874,7.559370806860986,22.86990917081746,39.30108703582111,0.16817986317512554,0.21073070907872712,37.423218199215974,24.058395177868366,23.409475004088755,86.68520000000008,0.9400689942964577,0.0
max,80.60046533826512,90.34883720930232,100.0,100.0,100.0,17.91816306141749,5.6269370323366985,45.16616314199396,75.83623488908884,79.95141954188105,65.35057150822414,83.68916356485708,17.91816306141749,2.9842531048222494,77.07483511875262,61.206158296382284,71.51037938439512,91.0,1.0,1.0
